# Generation	mean_fitness
1539	30.528
1540	30.528
1541	30.528
1542	30.528
1543	30.528
1544	30.528
1545	30.528
1546	30.528
1547	30.528
1548	30.528
1549	30.528
1550	30.528
1551	30.528
1552	30.528
1553	30.528
1554	30.528
1555	30.528
1556	30.528
1557	30.528
1558	30.528
1559	30.528
1560	30.528
1561	30.528
1562	30.528
1563	30.528
1564	30.528
1565	30.528
1566	30.528
1567	30.528
1568	30.528
1569	30.528
1570	30.528
1571	30.528
1572	30.528
1573	30.528
1574	30.528
1575	30.528
1576	30.528
1577	30.528
1578	30.528
1579	30.528
1580	30.528
1581	30.528
1582	30.528
1583	30.528
1584	30.528
1585	30.528
1586	30.528
1587	30.528
1588	30.528
1589	30.528
1590	30.528
1591	30.528
1592	30.528
1593	30.528
1594	30.528
1595	30.528
1596	30.528
1597	30.528
1598	30.528
1599	30.528
1600	30.528
1601	30.528
1602	30.528
1603	30.528
1604	30.528
1605	30.528
1606	30.528
1607	30.528
1608	30.528
1609	30.528
1610	30.528
1611	30.528
1612	30.528
1613	30.528
1614	30.528
1615	30.528
1616	30.528
1617	30.528
1618	30.528
1619	30.528
1620	30.528
1621	30.528
1622	30.528
1623	30.528
1624	30.528
1625	30.528
1626	30.528
1627	30.528
1628	30.528
1629	30.528
1630	30.528
1631	30.528
1632	30.528
1633	30.528
1634	30.528
1635	30.528
1636	30.528
1637	30.528
1638	30.528
1639	30.528
1640	30.528
1641	30.528
1642	30.528
1643	30.528
1644	30.528
1645	30.528
1646	30.528
1647	30.528
1648	30.528
1649	30.528
1650	30.528
1651	30.528
1652	30.528
1653	30.528
1654	30.528
1655	30.528
1656	30.528
1657	30.528
1658	30.528
1659	30.528
1660	30.528
1661	30.528
1662	30.528
1663	30.528
1664	30.528
1665	30.528
1666	30.528
1667	30.528
1668	30.528
1669	30.528
1670	30.528
1671	30.528
1672	30.528
1673	30.528
1674	30.528
1675	30.528
1676	30.528
1677	30.528
1678	30.528
1679	30.528
1680	30.528
1681	30.528
1682	30.528
1683	30.528
1684	30.528
1685	30.528
1686	30.528
1687	30.528
1688	30.528
1689	30.528
1690	30.528
1691	30.528
1692	30.528
1693	30.528
1694	30.528
1695	30.528
1696	30.528
1697	30.528
1698	30.528
1699	30.528
1700	30.528
1701	30.528
1702	30.528
1703	30.528
1704	30.528
1705	30.528
1706	30.528
1707	30.528
1708	30.528
1709	30.528
1710	30.528
1711	30.528
1712	30.528
1713	30.528
1714	30.528
1715	30.528
1716	30.528
1717	30.528
1718	30.528
1719	30.528
1720	30.528
1721	30.528
1722	30.528
1723	30.528
1724	30.528
1725	30.528
1726	30.528
1727	30.528
1728	30.528
1729	30.528
1730	30.528
1731	30.528
1732	30.528
1733	30.528
1734	30.528
1735	30.528
1736	30.528
1737	30.528
1738	30.528
1739	30.528
1740	30.528
1741	30.528
1742	30.528
1743	30.528
1744	30.528
1745	30.528
1746	30.528
1747	30.528
1748	30.528
1749	30.528
1750	30.528
1751	30.528
1752	30.528
1753	30.528
1754	30.528
1755	30.528
1756	30.528
1757	30.528
1758	30.528
1759	30.528
1760	30.528
1761	30.528
1762	30.528
1763	30.528
1764	30.528
1765	30.528
1766	30.528
1767	30.528
1768	30.528
1769	30.528
1770	30.528
1771	30.528
1772	30.528
1773	30.528
1774	30.528
1775	30.528
1776	30.528
1777	30.528
1778	30.528
1779	30.528
1780	30.528
1781	30.528
1782	30.528
1783	30.528
1784	30.528
1785	30.528
1786	30.528
1787	30.528
1788	30.528
1789	30.528
1790	30.528
1791	30.528
1792	30.528
1793	30.528
1794	30.528
1795	30.528
1796	30.528
1797	30.528
1798	30.528
1799	30.528
1800	30.528
1801	30.528
1802	30.528
1803	30.528
1804	30.528
1805	30.528
1806	30.528
1807	30.528
1808	30.528
1809	30.528
1810	30.528
1811	30.528
1812	30.528
1813	30.528
1814	30.528
1815	30.528
1816	30.528
1817	30.528
1818	30.528
1819	30.528
1820	30.528
1821	30.528
1822	30.528
1823	30.528
1824	30.528
1825	30.528
1826	30.528
1827	30.528
1828	30.528
1829	30.528
1830	30.528
1831	30.528
1832	30.528
1833	30.528
1834	30.528
1835	30.528
1836	30.528
1837	30.528
1838	30.528
1839	30.528
1840	30.528
1841	30.528
1842	30.528
1843	30.528
1844	30.528
1845	30.528
1846	30.528
1847	30.528
1848	30.528
1849	30.528
1850	30.528
1851	30.528
1852	30.528
1853	30.528
1854	30.528
1855	30.528
1856	30.528
1857	30.528
1858	30.528
1859	30.528
1860	30.528
1861	30.528
1862	30.528
1863	30.528
1864	30.528
1865	30.528
1866	30.528
1867	30.528
1868	30.528
1869	30.528
1870	30.528
1871	30.528
1872	30.528
1873	30.528
1874	30.528
1875	30.528
1876	30.528
1877	30.528
1878	30.528
1879	30.528
1880	30.528
1881	30.528
1882	30.528
1883	30.528
1884	30.528
1885	30.528
1886	30.528
1887	30.528
1888	30.528
1889	30.528
1890	30.528
1891	30.528
1892	30.528
1893	30.528
1894	30.528
1895	30.528
1896	30.528
1897	30.528
1898	30.528
1899	30.528
1900	30.528
1901	30.528
1902	30.528
1903	30.528
1904	30.528
1905	30.528
1906	30.528
1907	30.528
1908	30.528
1909	30.528
1910	30.528
1911	30.528
1912	30.528
1913	30.528
1914	30.528
1915	30.528
1916	30.528
1917	30.528
1918	30.528
1919	30.528
1920	30.528
1921	30.528
1922	30.528
1923	30.528
1924	30.528
1925	30.528
1926	30.528
1927	30.528
1928	30.528
1929	30.528
1930	30.528
1931	30.528
1932	30.528
1933	30.528
1934	30.528
1935	30.528
1936	30.528
1937	30.528
1938	30.528
1939	30.528
1940	30.528
1941	30.528
1942	30.528
1943	30.528
1944	30.528
1945	30.528
1946	30.528
1947	30.528
1948	30.528
1949	30.528
1950	30.528
1951	30.528
1952	30.528
1953	30.528
1954	30.528
1955	30.528
1956	30.528
1957	30.528
1958	30.528
1959	30.528
1960	30.528
1961	30.528
1962	30.528
1963	30.528
1964	30.528
1965	30.528
1966	30.528
1967	30.528
1968	30.528
1969	30.528
1970	30.528
1971	30.528
1972	30.528
1973	30.528
1974	30.528
1975	30.528
1976	30.528
1977	30.528
1978	30.528
1979	30.528
1980	30.528
1981	30.528
1982	30.528
1983	30.528
1984	30.528
1985	30.528
1986	30.528
1987	30.528
1988	30.528
1989	30.528
1990	30.528
1991	30.528
1992	30.528
1993	30.528
1994	30.528
1995	30.528
1996	30.528
1997	30.528
1998	30.528
1999	30.528
