# Generation	mean_fitness
1138	30.797
1139	30.796
1140	30.796
1141	30.796
1142	30.796
1143	30.797
1144	30.799
1145	30.799
1146	30.798
1147	30.798
1148	30.798
1149	30.798
1150	30.797
1151	30.798
1152	30.798
1153	30.798
1154	30.798
1155	30.798
1156	30.799
1157	30.799
1158	30.799
1159	30.8
1160	30.8
1161	30.8
1162	30.8
1163	30.8
1164	30.8
1165	30.799
1166	30.799
1167	30.799
1168	30.799
1169	30.799
1170	30.8
1171	30.8
1172	30.8
1173	30.8
1174	30.8
1175	30.8
1176	30.8
1177	30.8
1178	30.8
1179	30.8
1180	30.8
1181	30.8
1182	30.801
1183	30.801
1184	30.801
1185	30.801
1186	30.8
1187	30.801
1188	30.801
1189	30.801
1190	30.801
1191	30.801
1192	30.801
1193	30.801
1194	30.801
1195	30.801
1196	30.801
1197	30.801
1198	30.801
1199	30.801
1200	30.801
1201	30.801
1202	30.801
1203	30.801
1204	30.801
1205	30.801
1206	30.801
1207	30.801
1208	30.801
1209	30.801
1210	30.801
1211	30.801
1212	30.801
1213	30.801
1214	30.801
1215	30.801
1216	30.801
1217	30.801
1218	30.801
1219	30.801
1220	30.801
1221	30.801
1222	30.801
1223	30.801
1224	30.801
1225	30.801
1226	30.801
1227	30.801
1228	30.801
1229	30.801
1230	30.801
1231	30.801
1232	30.801
1233	30.801
1234	30.801
1235	30.801
1236	30.801
1237	30.801
1238	30.801
1239	30.801
1240	30.801
1241	30.801
1242	30.801
1243	30.801
1244	30.801
1245	30.801
1246	30.801
1247	30.801
1248	30.801
1249	30.801
1250	30.801
1251	30.801
1252	30.801
1253	30.801
1254	30.801
1255	30.801
1256	30.801
1257	30.801
1258	30.801
1259	30.801
1260	30.801
1261	30.801
1262	30.801
1263	30.801
1264	30.801
1265	30.801
1266	30.801
1267	30.801
1268	30.801
1269	30.801
1270	30.801
1271	30.801
1272	30.801
1273	30.801
1274	30.801
1275	30.801
1276	30.801
1277	30.801
1278	30.801
1279	30.801
1280	30.801
1281	30.801
1282	30.801
1283	30.801
1284	30.801
1285	30.801
1286	30.801
1287	30.801
1288	30.801
1289	30.801
1290	30.801
1291	30.801
1292	30.801
1293	30.801
1294	30.801
1295	30.801
1296	30.801
1297	30.801
1298	30.801
1299	30.801
1300	30.801
1301	30.801
