MINIMIZING ROSENBROCK'S SADDLE (1000 gens, binary)
ROSENBROCK'S SADDLE
1000
binary
Gen #	minima
328	1.020101
329	1.020101
330	1.020101
331	1.020101
332	1.020101
333	1.020101
334	1.020101
335	1.020101
336	1.020101
337	1.020101
338	1.020101
339	1.020101
340	1.020101
341	1.020101
342	1.020101
343	1.020101
344	1.020101
345	1.020101
346	1.020101
347	1.020101
348	1.020101
349	1.020101
350	1.020101
351	1.020101
352	1.020101
353	1.020101
354	1.020101
355	1.020101
356	1.020101
357	1.020101
358	1.020101
359	1.020101
360	1.020101
361	1.020101
362	1.020101
363	1.020101
364	1.020101
365	1.020101
366	1.020101
367	1.020101
368	1.020101
369	1.020101
370	1.020101
371	1.020101
372	1.020101
373	1.020101
374	1.020101
375	1.020101
376	1.020101
377	1.020101
378	1.020101
379	1.020101
380	1.020101
381	1.020101
382	1.020101
383	1.020101
384	1.020101
385	1.020101
386	1.020101
387	1.020101
388	1.020101
389	1.020101
390	1.020101
391	1.020101
392	1.020101
393	1.020101
394	1.020101
395	1.020101
396	1.020101
397	1.020101
398	1.020101
399	1.020101
400	1.020101
401	1.020101
402	1.020101
403	1.020101
404	1.020101
405	1.020101
406	1.020101
407	1.020101
408	1.020101
409	1.020101
410	1.020101
411	1.020101
412	1.020101
413	1.020101
414	1.020101
415	1.020101
416	1.020101
417	1.020101
418	1.020101
419	1.020101
420	1.020101
421	1.020101
422	1.020101
423	1.020101
424	1.020101
425	1.020101
426	1.020101
427	1.020101
428	1.020101
429	1.020101
430	1.020101
431	1.020101
432	1.020101
433	1.020101
434	1.020101
435	1.020101
436	1.020101
437	1.020101
438	1.020101
439	1.020101
440	1.020101
441	1.020101
442	1.020101
443	1.020101
444	1.020101
445	1.020101
446	1.020101
447	1.020101
448	1.020101
449	1.020101
450	1.020101
451	1.020101
452	1.020101
453	1.020101
454	1.020101
455	1.020101
456	1.020101
457	1.020101
458	1.020101
459	1.020101
460	1.020101
461	1.020101
462	1.020101
463	1.020101
464	1.020101
465	1.020101
466	1.020101
467	1.020101
468	1.020101
469	1.020101
470	1.020101
471	1.020101
472	1.020101
473	1.020101
474	1.020101
475	1.020101
476	1.020101
477	1.020101
478	1.020101
479	1.020101
480	1.020101
481	1.020101
482	1.020101
483	1.020101
484	1.020101
485	1.020101
486	1.020101
487	1.020101
488	1.020101
489	1.020101
490	1.020101
491	1.020101
492	1.020101
493	1.020101
494	1.020101
495	1.020101
496	1.020101
497	1.020101
498	1.020101
499	1.020101
500	1.020101
501	1.020101
502	1.020101
503	1.020101
504	1.020101
505	1.020101
506	1.020101
507	1.020101
508	1.020101
509	1.020101
510	1.020101
511	1.020101
512	1.020101
513	1.020101
514	1.020101
515	1.020101
516	1.020101
517	1.020101
518	1.020101
519	1.020101
520	1.020101
521	1.020101
522	1.020101
523	1.020101
524	1.020101
525	1.020101
526	1.020101
527	1.020101
528	1.020101
529	1.020101
530	1.020101
